"Schengen State","Country where consulate is located","Consulate","Number of Visa Applications (including multiple ATVs, MEVs and LTVs)","Total ATVs and uniform visas issued (including multiple ATVs, MEVs and LTVs)","Total ATVs and uniform visas not issued","Not issued rate for ATVs and uniform visas"
"Portugal","CAPE VERDE","CIDADE DA PRAIA","4,265","3,343","922","21.62%"
"Portugal","CHILE","SANTIAGO DE CHILE","1","1","0",""
"Portugal","CHINA","BEIJING","187","166","27","13.99%"
"Portugal","CHINA","GUANGZHOU (CANTON)","277","255","22","7.94%"
"Portugal","CHINA","SHANGHAI","104","91","13","12.50%"
"Portugal","COLOMBIA","BOGOTA","4","3","1","25.00%"
"Portugal","CONGO (DEMOCRATIC REPUBLIC)","KINSHASA","1","0","1",""
"Portugal","CROATIA","ZAGREB","6","5","1","16.67%"
"Portugal","CUBA","HAVANA","273","244","29","10.62%"
"Portugal","CYPRUS","NICOSIA","23","19","4","17.39%"
"Portugal","EGYPT","CAIRO","428","374","55","12.82%"
"Portugal","GREECE","ATHENS","1","1","0",""
"Portugal","GUINEA-BISSAU","BISSAU","1,657","1,143","514","31.02%"
"Portugal","HUNGARY","BUDAPEST","1","1","0",""
"Portugal","INDIA","GOA","180","130","50","27.78%"
"Portugal","INDIA","NEW DELHI","418","313","105","25.12%"
"Portugal","INDONESIA","JAKARTA","421","411","10","2.38%"
"Portugal","IRAN","TEHERAN","143","112","31","21.68%"
"Portugal","IRELAND","DUBLIN","134","112","22","16.42%"
"Portugal","ISRAEL","TEL AVIV","5","3","2","40.00%"
"Portugal","JAPAN","TOKYO","14","13","1","7.14%"
"Portugal","MACAO S.A.R.","MACAO","14","13","1","7.14%"
"Portugal","MEXICO","MEXICO CITY","7","6","1","14.29%"
"Portugal","MOROCCO","RABAT","441","427","14","3.17%"
"Portugal","MOZAMBIQUE","BEIRA","478","442","36","7.53%"
"Portugal","MOZAMBIQUE","MAPUTO","1,949","1,887","62","3.18%"
"Portugal","NIGERIA","ABUJA","155","155","0",""
"Portugal","PAKISTAN","ISLAMABAD","573","319","254","44.33%"
"Portugal","PALESTINIAN AUTHORITY","RAMALLAH","2","2","0",""
"Portugal","PANAMA","PANAMA CITY","8","4","4","50.00%"
"Portugal","PERU","LIMA","20","19","1","5.00%"
"Portugal","QATAR","DOHA","800","782","8","1.01%"
"Portugal","ROMANIA","BUCHAREST","50","37","13","26.00%"
"Portugal","RUSSIAN FEDERATION","MOSCOW","1,608","1,523","85","5.29%"
"Portugal","SAO TOME AND PRINCIPE","SAO TOME","1,461","1,302","159","10.88%"
"Portugal","SAUDI ARABIA","RIYADH","16,228","14,092","1,136","7.46%"
"Portugal","SENEGAL","DAKAR","803","450","253","35.99%"
"Portugal","SERBIA","BELGRADE","22","18","4","18.18%"
"Portugal","SINGAPORE","SINGAPORE","121","95","26","21.49%"
"Portugal","SOUTH AFRICA","CAPE TOWN","311","296","15","4.82%"
"Portugal","SOUTH AFRICA","JOHANNESBURG","679","616","63","9.28%"
"Portugal","SOUTH KOREA","SEOUL","12","12","0",""
"Portugal","THAILAND","BANGKOK","224","168","56","25.00%"
"Portugal","TIMOR-LESTE","DILI","55","53","2","3.64%"
"Portugal","TUNISIA","TUNIS","310","271","39","12.58%"
"Portugal","TURKEY","ANKARA","628","553","75","11.94%"
"Portugal","UKRAINE","KYIV","194","101","93","47.94%"
"Portugal","UNITED ARAB EMIRATES","ABU DHABI","587","488","99","16.87%"
"Portugal","UNITED KINGDOM","LONDON","2,382","2,330","53","2.22%"
"Portugal","UNITED KINGDOM","MANCHESTER","737","705","32","4.34%"
"Portugal","USA","BOSTON, MA","56","45","11","19.64%"
"Portugal","USA","NEW BEDFORD, MA","121","114","7","5.79%"
"Portugal","USA","NEW YORK, NY","132","118","14","10.61%"
"Portugal","USA","NEWARK, NJ","93","87","6","6.45%"
"Portugal","USA","SAN FRANCISCO, CA","164","155","9","5.49%"
"Portugal","USA","WASHINGTON, DC","200","196","4","2.00%"
"Portugal","VENEZUELA","CARACAS","3","3","0",""
"Portugal","VENEZUELA","VALENCIA","1","1","0",""
"Portugal","ZIMBABWE","HARARE","42","35","7","16.67%"
"Slovakia","AUSTRALIA","CANBERRA","1","1","0",""
"Slovakia","AZERBAIJAN","BAKU","124","127","3","2.31%"
"Slovakia","BELARUS","MINSK","491","492","0",""
"Slovakia","BULGARIA","SOFIA","22","16","5","23.81%"
"Slovakia","CANADA","OTTAWA","5","5","0",""
"Slovakia","CHINA","BEIJING","87","74","11","12.94%"
"Slovakia","CHINA","SHANGHAI","82","73","0",""
"Slovakia","CROATIA","ZAGREB","1","1","0",""
"Slovakia","CUBA","HAVANA","5","5","0",""
"Slovakia","CYPRUS","NICOSIA","476","441","18","3.92%"
"Slovakia","EGYPT","CAIRO","56","44","4","8.33%"
"Slovakia","FRANCE","PARIS","1","1","0",""
"Slovakia","INDIA","NEW DELHI","108","106","0",""
"Slovakia","INDONESIA","JAKARTA","76","76","0",""
"Slovakia","IRAN","TEHERAN","155","140","8","5.41%"
"Slovakia","IRELAND","DUBLIN","10","9","0",""
"Slovakia","ISRAEL","TEL AVIV","3","2","0",""
"Slovakia","KAZAKHSTAN","NUR-SULTAN","128","164","0",""
"Slovakia","KENYA","NAIROBI","47","44","3","6.38%"
"Slovakia","KOSOVO","PRISTINA","33","64","1","1.54%"
"Slovakia","KUWAIT","KUWAIT","90","89","1","1.11%"
"Slovakia","LEBANON","BEIRUT","21","20","0",""
"Slovakia","MEXICO","MEXICO CITY","2","2","0",""
"Slovakia","NORTH MACEDONIA","SKOPJE","3","3","0",""
"Slovakia","ROMANIA","BUCHAREST","10","9","1","10.00%"
"Slovakia","RUSSIAN FEDERATION","MOSCOW","604","600","1","0.17%"
"Slovakia","RUSSIAN FEDERATION","ST. PETERSBURG","52","62","0",""
"Slovakia","SERBIA","BELGRADE","16","14","0",""
"Slovakia","SOUTH AFRICA","PRETORIA","49","48","0",""
"Slovakia","TAIWAN","TAIPEI","1","1","0",""
"Slovakia","THAILAND","BANGKOK","11","11","0",""
"Slovakia","TURKEY","ANKARA","122","113","8","6.61%"
"Slovakia","TURKEY","ISTANBUL","479","465","11","2.31%"
"Slovakia","UKRAINE","KYIV","148","137","9","6.16%"
"Slovakia","UKRAINE","UZHHOROD","2","2","0",""
"Slovakia","UNITED ARAB EMIRATES","ABU DHABI","49","49","5","9.26%"
"Slovakia","UNITED KINGDOM","LONDON","256","247","7","2.76%"
"Slovakia","USA","NEW YORK, NY","7","7","0",""
"Slovakia","USA","WASHINGTON, DC","6","6","0",""
"Slovakia","UZBEKISTAN","TASHKENT","46","35","11","23.91%"
"Slovakia","VIETNAM","HANOI","1","1","0",""
"Slovenia","ALBANIA","TIRANA","1","1","0",""
"Slovenia","AUSTRALIA","CANBERRA","1","1","0",""
"Slovenia","AUSTRIA","VIENNA","1","1","0",""
"Slovenia","BOSNIA AND HERZEGOVINA","SARAJEVO","16","16","0",""
"Slovenia","BULGARIA","SOFIA","20","20","0",""
"Slovenia","CANADA","OTTAWA","3","3","0",""
"Slovenia","CHINA","BEIJING","92","153","0",""
"Slovenia","CROATIA","ZAGREB","250","238","11","4.42%"
"Slovenia","EGYPT","CAIRO","131","118","3","2.48%"
"Slovenia","INDIA","NEW DELHI","89","78","9","10.34%"
"Slovenia","IRAN","TEHERAN","35","29","3","9.38%"
"Slovenia","ISRAEL","TEL AVIV","15","12","1","7.69%"
"Slovenia","JAPAN","TOKYO","3","3","0",""
"Slovenia","KOSOVO","PRISTINA","798","717","83","10.38%"
"Slovenia","MONTENEGRO","PODGORICA","438","426","11","2.52%"
"Slovenia","NETHERLANDS","THE HAGUE","1","1","0",""
"Slovenia","NORTH MACEDONIA","SKOPJE","8","7","1","12.50%"
"Slovenia","RUSSIAN FEDERATION","MOSCOW","2,101","1,928","108","5.30%"
"Slovenia","SERBIA","BELGRADE","107","99","6","5.71%"
"Slovenia","TURKEY","ANKARA","1,706","1,517","186","10.92%"
"Slovenia","UKRAINE","KYIV","14","11","2","15.38%"
"Slovenia","UNITED ARAB EMIRATES","ABU DHABI","118","91","22","19.47%"
"Slovenia","UNITED KINGDOM","LONDON","120","110","6","5.17%"
"Slovenia","USA","CLEVELAND, OH","3","3","0",""
"Slovenia","USA","WASHINGTON, DC","38","33","7","17.50%"
"Spain","AFGHANISTAN","KABUL","90","93","0",""
"Spain","ALBANIA","TIRANA","41","44","2","4.35%"
"Spain","ALGERIA","ALGIERS","19,956","15,442","2,995","16.24%"
"Spain","ALGERIA","ORAN","22,013","19,026","1,917","9.15%"
"Spain","ANDORRA","ANDORRA LA VELLA","120","113","2","1.74%"
"Spain","ANGOLA","LUANDA","1,072","671","310","31.60%"
"Spain","ARGENTINA","BAHIA BLANCA","5","5","0",""
"Spain","ARGENTINA","BUENOS AIRES","213","188","19","9.18%"
"Spain","ARGENTINA","CORDOBA","5","4","0",""
"Spain","ARGENTINA","MENDOZA","5","5","0",""
"Spain","ARGENTINA","ROSARIO (Santa Fé)","13","12","0",""
"Spain","AUSTRALIA","CANBERRA","7","6","0",""
"Spain","AUSTRALIA","MELBOURNE","18","21","0",""
"Spain","AUSTRALIA","SYDNEY","22","19","0",""
"Spain","BANGLADESH","DHAKA","585","398","93","18.94%"
"Spain","BELGIUM","BRUSSELS","1","1","0",""
"Spain","BOLIVIA","LA PAZ","4,320","1,761","2,403","57.71%"
"Spain","BOLIVIA","SANTA CRUZ DE LA SIERRA","3,213","1,846","1,076","36.82%"
"Spain","BOSNIA AND HERZEGOVINA","SARAJEVO","37","35","0",""
"Spain","BRAZIL","BRASILIA","28","20","1","4.76%"
"Spain","BRAZIL","PORTO ALEGRE","4","4","0",""
"Spain","BRAZIL","RIO DE JANEIRO","12","12","0",""
"Spain","BRAZIL","SALVADOR DE BAHIA","10","6","0",""
"Spain","BRAZIL","SAO PAULO","82","60","10","14.29%"
"Spain","BULGARIA","SOFIA","196","178","13","6.81%"
"Spain","CAMEROON","YAONDE","526","385","101","20.78%"
"Spain","CANADA","MONTREAL","252","246","0",""
"Spain","CANADA","OTTAWA","45","42","0",""
"Spain","CANADA","TORONTO","301","266","0",""
"Spain","CAPE VERDE","CIDADE DA PRAIA","511","402","73","15.37%"
"Spain","CHILE","SANTIAGO DE CHILE","285","175","73","29.44%"
"Spain","CHINA","BEIJING","1,452","1,222","57","4.46%"
"Spain","CHINA","GUANGZHOU (CANTON)","385","302","29","8.76%"
"Spain","CHINA","SHANGHAI","533","378","112","22.86%"
"Spain","COLOMBIA","BOGOTA","259","209","12","5.43%"
"Spain","CONGO (DEMOCRATIC REPUBLIC)","KINSHASA","929","418","350","45.57%"
"Spain","COSTA RICA","SAN JOSE","40","34","2","5.56%"
"Spain","COTE D'IVOIRE","ABIDJAN","1,175","830","247","22.93%"
"Spain","CROATIA","ZAGREB","32","30","2","6.25%"
"Spain","CUBA","HAVANA","9,485","7,336","1,716","18.96%"
"Spain","CYPRUS","NICOSIA","325","313","5","1.57%"
"Spain","DENMARK","COPENHAGEN","2","3","0",""
"Spain","DOMINICAN REPUBLIC","SANTO DOMINGO","15,806","11,965","3,110","20.63%"
"Spain","ECUADOR","GUAYAQUIL","10,357","8,131","1,704","17.33%"
"Spain","ECUADOR","QUITO","13,824","10,983","2,669","19.55%"
"Spain","EGYPT","CAIRO","5,371","4,191","610","12.71%"
"Spain","EL SALVADOR","SAN SALVADOR","54","52","0",""
"Spain","EQUATORIAL GUINEA","BATA","1,091","832","148","15.10%"
"Spain","EQUATORIAL GUINEA","MALABO","3,771","2,609","749","22.30%"
"Spain","ESTONIA","TALLINN","4","4","0",""
"Spain","ETHIOPIA","ADDIS ABEBA","573","431","93","17.75%"
"Spain","FINLAND","HELSINKI","2","2","0",""
"Spain","FRANCE","LYON","1","1","0",""
"Spain","FRANCE","PARIS","26","25","0",""
"Spain","GABON","LIBREVILLE","511","233","258","52.55%"
"Spain","GERMANY","BERLIN","7","6","1","14.29%"
"Spain","GERMANY","DUSSELDORF","2","2","0",""
"Spain","GERMANY","FRANKFURT/MAIN","2","2","0",""
"Spain","GERMANY","MUNICH","1","1","0",""
"Spain","GERMANY","STUTTGART","3","3","0",""
"Spain","GHANA","ACCRA","4,174","1,815","2,178","54.55%"
"Spain","GREECE","ATHENS","23","19","0",""
"Spain","GUATEMALA","GUATEMALA CITY","23","21","0",""
"Spain","GUINEA","CONAKRY","535","307","88","22.28%"
"Spain","GUINEA-BISSAU","BISSAU","2,986","1,963","970","33.07%"
"Spain","HAITI","PORT AU PRINCE","646","340","288","45.86%"
"Spain","HONDURAS","TEGUCIGALPA","11","11","0",""
"Spain","HONG KONG S.A.R.","HONG KONG","90","76","11","12.64%"
"Spain","HUNGARY","BUDAPEST","4","3","0",""
"Spain","INDIA","MUMBAI","6,741","5,631","1,000","15.08%"
"Spain","INDIA","NEW DELHI","5,964","3,999","1,730","30.20%"
"Spain","INDONESIA","JAKARTA","5,767","5,457","203","3.59%"
"Spain","IRAN","TEHERAN","4,124","2,622","972","27.05%"
"Spain","IRAQ","BAGHDAD","1,045","937","39","4.00%"
"Spain","IRELAND","DUBLIN","2,095","1,951","8","0.41%"
"Spain","ISRAEL","JERUSALEM","2,118","1,536","333","17.82%"
"Spain","ISRAEL","TEL AVIV","162","154","2","1.28%"
"Spain","ITALY","MILAN","5","5","0",""
"Spain","ITALY","NAPLES","1","1","0",""
"Spain","ITALY","ROME","19","19","0",""
"Spain","JAMAICA","KINGSTON","370","354","9","2.48%"
"Spain","JAPAN","TOKYO","136","122","3","2.40%"
"Spain","JORDAN","AMMAN","3,472","2,612","681","20.68%"
"Spain","KAZAKHSTAN","NUR-SULTAN","2,494","2,287","152","6.23%"
"Spain","KENYA","NAIROBI","1,276","970","219","18.42%"
"Spain","KUWAIT","KUWAIT","13,769","12,949","455","3.39%"
"Spain","LEBANON","BEIRUT","5,195","3,044","1,897","38.39%"
"Spain","LITHUANIA","VILNIUS","20","1","0",""
"Spain","MALAYSIA","KUALA LUMPUR","28","27","1","3.57%"
"Spain","MALI","BAMAKO","987","713","216","23.25%"
"Spain","MALTA","VALETTA","16","6","0",""
"Spain","MAURITANIA","NOUAKCHOTT","10,588","7,854","2,020","20.46%"
"Spain","MEXICO","GUADALAJARA","60","60","0",""
"Spain","MEXICO","MEXICO CITY","288","276","0",""
"Spain","MEXICO","MONTERREY","17","14","1","6.67%"
"Spain","MOROCCO","AGADIR","5,662","3,788","1,493","28.27%"
"Spain","MOROCCO","CASABLANCA","26,226","19,178","1,319","6.44%"
"Spain","MOROCCO","NADOR","7,771","5,568","1,477","20.97%"
"Spain","MOROCCO","RABAT","8,594","5,672","2,513","30.70%"
"Spain","MOROCCO","TANGER","29,961","20,814","7,529","26.56%"
"Spain","MOROCCO","TETOUAN","6,285","4,668","806","14.72%"
"Spain","MOZAMBIQUE","MAPUTO","503","384","73","15.97%"
"Spain","NAMIBIA","WINDHOEK","313","255","30","10.53%"
"Spain","NETHERLANDS","AMSTERDAM","1","2","0",""
"Spain","NEW ZEALAND","WELLINGTON","15","19","0",""
"Spain","NICARAGUA","MANAGUA","24","19","0",""
"Spain","NIGER","NIAMEY","306","198","72","26.67%"
"Spain","NIGERIA","ABUJA","50","47","0",""
"Spain","NIGERIA","LAGOS","8,292","2,448","5,687","69.91%"
"Spain","NORTH MACEDONIA","SKOPJE","62","52","0",""
"Spain","NORWAY","OSLO","1","1","0",""
"Spain","OMAN","MUSCAT","2,959","2,533","300","10.59%"
"Spain","PAKISTAN","ISLAMABAD","11,369","4,656","2,939","38.70%"
"Spain","PANAMA","PANAMA CITY","292","254","0",""
"Spain","PARAGUAY","ASUNCION","26","15","10","40.00%"
"Spain","PERU","LIMA","58","50","0",""
"Spain","PHILIPPINES","MANILA","9,194","8,727","445","4.85%"
"Spain","POLAND","WARSAW","8","6","0",""
"Spain","PORTUGAL","LISBON","4","4","0",""
"Spain","QATAR","DOHA","11,655","10,850","167","1.52%"
"Spain","ROMANIA","BUCHAREST","248","221","14","5.96%"
"Spain","RUSSIAN FEDERATION","MOSCOW","65,561","62,370","1,385","2.17%"
"Spain","RUSSIAN FEDERATION","ST. PETERSBURG","5,312","5,147","20","0.39%"
"Spain","SAUDI ARABIA","RIYADH","25,907","24,544","462","1.85%"
"Spain","SENEGAL","DAKAR","6,355","3,309","2,093","38.74%"
"Spain","SERBIA","BELGRADE","50","42","3","6.67%"
"Spain","SINGAPORE","SINGAPORE","797","760","17","2.19%"
"Spain","SOUTH AFRICA","CAPE TOWN","920","877","9","1.02%"
"Spain","SOUTH AFRICA","PRETORIA","805","717","1","0.14%"
"Spain","SOUTH KOREA","SEOUL","47","37","4","9.76%"
"Spain","SUDAN","KHARTOUM","752","408","285","41.13%"
"Spain","SWITZERLAND","BERN","8","2","0",""
"Spain","SWITZERLAND","GENEVA","4","4","0",""
"Spain","TANZANIA","DAR ES SALAAM","187","165","10","5.71%"
"Spain","THAILAND","BANGKOK","1,294","1,080","170","13.60%"
"Spain","TRINIDAD AND TOBAGO","PORT OF SPAIN","24","19","2","9.52%"
"Spain","TUNISIA","TUNIS","7,038","4,102","1,855","31.14%"
"Spain","TURKEY","ANKARA","2,585","1,647","743","31.09%"
"Spain","TURKEY","ISTANBUL","7,729","6,783","547","7.46%"
"Spain","UKRAINE","KYIV","312","231","53","18.66%"
"Spain","UNITED ARAB EMIRATES","ABU DHABI","9,384","6,764","2,191","24.47%"
"Spain","UNITED KINGDOM","EDINBURGH","1,334","1,218","63","4.92%"
"Spain","UNITED KINGDOM","LONDON","13,914","12,313","610","4.72%"
"Spain","UNITED KINGDOM","MANCHESTER","3,679","3,274","262","7.41%"
"Spain","URUGUAY","MONTEVIDEO","166","154","4","2.53%"
"Spain","USA","BOSTON, MA","100","97","0",""
"Spain","USA","CHICAGO, IL","176","168","1","0.59%"
"Spain","USA","HOUSTON, TX","317","316","0",""
"Spain","USA","LOS ANGELES, CA","304","295","0",""
"Spain","USA","MIAMI, FL","1,817","1,749","14","0.79%"
"Spain","USA","NEW YORK, NY","1,838","1,713","100","5.52%"
"Spain","USA","SAN FRANCISCO, CA","503","476","4","0.83%"
"Spain","USA","SAN JUAN, PR","67","63","0",""
"Spain","USA","WASHINGTON, DC","415","407","3","0.73%"
"Spain","VENEZUELA","CARACAS","58","43","12","21.82%"
"Spain","VIETNAM","HANOI","289","277","3","1.07%"
"Spain","ZIMBABWE","HARARE","180","172","2","1.15%"
"Sweden","AUSTRALIA","CANBERRA","7","1","6","85.71%"
"Sweden","BANGLADESH","DHAKA","699","549","133","19.50%"
"Sweden","BOSNIA AND HERZEGOVINA","SARAJEVO","2","1","1","50.00%"
"Sweden","CHILE","SANTIAGO DE CHILE","1","1","0",""
"Sweden","CHINA","BEIJING","556","265","273","50.74%"
"Sweden","CHINA","SHANGHAI","276","239","42","14.95%"
"Sweden","COLOMBIA","BOGOTA","186","116","58","33.33%"
"Sweden","CUBA","HAVANA","202","150","38","20.21%"
"Sweden","EGYPT","CAIRO","313","180","119","39.80%"
"Sweden","ETHIOPIA","ADDIS ABEBA","268","177","80","31.13%"
"Sweden","INDIA","NEW DELHI","1,974","1,138","833","42.26%"
"Sweden","IRAN","TEHERAN","80","47","25","34.72%"
"Sweden","IRAQ","BAGHDAD","34","34","0",""
"Sweden","ISRAEL","JERUSALEM","57","27","18","40.00%"
"Sweden","ISRAEL","TEL AVIV","6","6","0",""
"Sweden","JAPAN","TOKYO","28","10","7","41.18%"
"Sweden","JORDAN","AMMAN","519","346","178","33.97%"
"Sweden","KENYA","NAIROBI","980","495","466","48.49%"
"Sweden","LEBANON","BEIRUT","847","289","527","64.58%"
"Sweden","LIBERIA","MONROVIA","69","69","0",""
"Sweden","MOROCCO","RABAT","612","404","189","31.87%"
"Sweden","NIGERIA","ABUJA","704","72","635","89.82%"
"Sweden","NORTH MACEDONIA","SKOPJE","656","626","50","7.40%"
"Sweden","PAKISTAN","ISLAMABAD","943","229","658","74.18%"
"Sweden","ROMANIA","BUCHAREST","45","41","8","16.33%"
"Sweden","RUSSIAN FEDERATION","MOSCOW","1,968","1,835","116","5.95%"
"Sweden","SAUDI ARABIA","RIYADH","546","430","118","21.53%"
"Sweden","SERBIA","BELGRADE","19","16","1","5.88%"
"Sweden","SOUTH AFRICA","PRETORIA","104","89","23","20.54%"
"Sweden","SOUTH KOREA","SEOUL","28","17","6","26.09%"
"Sweden","SUDAN","KHARTOUM","19","7","7","50.00%"
"Sweden","TANZANIA","DAR ES SALAAM","14","10","6","37.50%"
"Sweden","THAILAND","BANGKOK","2,849","1,982","945","32.29%"
"Sweden","TURKEY","ISTANBUL","4,694","3,506","834","19.22%"
"Sweden","UKRAINE","KYIV","54","27","24","47.06%"
"Sweden","UNITED ARAB EMIRATES","ABU DHABI","617","472","135","22.24%"
"Sweden","UNITED KINGDOM","LONDON","756","761","16","2.06%"
"Sweden","USA","WASHINGTON, DC","487","381","58","13.21%"
"Sweden","ZAMBIA","LUSAKA","41","16","21","56.76%"
"Switzerland","ALGERIA","ALGIERS","895","646","249","27.82%"
"Switzerland","ARGENTINA","BUENOS AIRES","3","2","1","33.33%"
"Switzerland","AUSTRALIA","SYDNEY","42","42","0",""
"Switzerland","AUSTRIA","VIENNA","471","471","0",""
"Switzerland","AZERBAIJAN","BAKU","1,162","1,124","38","3.27%"
"Switzerland","BANGLADESH","DHAKA","366","307","59","16.12%"
"Switzerland","BRAZIL","RIO DE JANEIRO","8","6","2","25.00%"
"Switzerland","BRAZIL","SAO PAULO","40","37","3","7.50%"
"Switzerland","CAMEROON","YAONDE","268","214","54","20.15%"
"Switzerland","CANADA","MONTREAL","338","331","7","2.07%"
"Switzerland","CANADA","VANCOUVER","452","448","4","0.88%"
"Switzerland","CHILE","SANTIAGO DE CHILE","11","11","0",""
"Switzerland","CHINA","BEIJING","473","409","64","13.53%"
"Switzerland","CHINA","GUANGZHOU (CANTON)","163","125","38","23.31%"
"Switzerland","CHINA","SHANGHAI","372","350","22","5.91%"
"Switzerland","COLOMBIA","BOGOTA","13","12","1","7.69%"
"Switzerland","CONGO (DEMOCRATIC REPUBLIC)","KINSHASA","229","158","71","31.00%"
"Switzerland","COSTA RICA","SAN JOSE","6","6","0",""
"Switzerland","COTE D'IVOIRE","ABIDJAN","486","434","52","10.70%"
"Switzerland","CUBA","HAVANA","169","151","18","10.65%"
"Switzerland","DOMINICAN REPUBLIC","SANTO DOMINGO","580","473","107","18.45%"
"Switzerland","ECUADOR","QUITO","853","782","71","8.32%"
"Switzerland","EGYPT","CAIRO","1,667","1,507","160","9.60%"
"Switzerland","ETHIOPIA","ADDIS ABEBA","273","249","24","8.79%"
"Switzerland","GEORGIA","TBILISSI","191","174","17","8.90%"
"Switzerland","GERMANY","FRANKFURT/MAIN","7","7","0",""
"Switzerland","GERMANY","STUTTGART","7","7","0",""
"Switzerland","GHANA","ACCRA","724","413","311","42.96%"
"Switzerland","GREECE","ATHENS","2","2","0",""
"Switzerland","HONG KONG S.A.R.","HONG KONG","79","64","15","18.99%"
"Switzerland","INDIA","NEW DELHI","19,645","15,511","4,134","21.04%"
"Switzerland","INDONESIA","JAKARTA","3,683","3,478","205","5.57%"
"Switzerland","IRAN","TEHERAN","1,979","1,753","226","11.42%"
"Switzerland","ISRAEL","TEL AVIV","95","89","6","6.32%"
"Switzerland","ITALY","MILAN","4","4","0",""
"Switzerland","ITALY","ROME","1","1","0",""
"Switzerland","JAPAN","TOKYO","111","108","3","2.70%"
"Switzerland","JORDAN","AMMAN","766","710","56","7.31%"
"Switzerland","KAZAKHSTAN","NUR-SULTAN","713","688","25","3.51%"
"Switzerland","KENYA","NAIROBI","775","709","66","8.52%"
"Switzerland","KOSOVO","PRISTINA","17,280","14,600","2,680","15.51%"
"Switzerland","KYRGYZSTAN","BISHKEK","572","514","58","10.14%"
"Switzerland","LEBANON","BEIRUT","1,571","1,199","372","23.68%"
"Switzerland","MADAGASCAR","ANTANANARIVO","98","77","21","21.43%"
"Switzerland","MEXICO","MEXICO CITY","29","28","1","3.45%"
"Switzerland","MOROCCO","RABAT","667","599","68","10.19%"
"Switzerland","NEPAL","KATHMANDU","381","309","72","18.90%"
"Switzerland","NETHERLANDS","THE HAGUE","2","2","0",""
"Switzerland","NEW ZEALAND","WELLINGTON","4","4","0",""
"Switzerland","NIGERIA","ABUJA","693","536","157","22.66%"
"Switzerland","PAKISTAN","ISLAMABAD","1,180","600","580","49.15%"
"Switzerland","PALESTINIAN AUTHORITY","RAMALLAH","171","157","14","8.19%"
"Switzerland","PERU","LIMA","79","68","11","13.92%"
"Switzerland","PHILIPPINES","MANILA","897","753","144","16.05%"
"Switzerland","POLAND","WARSAW","1","1","0",""
"Switzerland","PORTUGAL","LISBON","2","2","0",""
"Switzerland","QATAR","DOHA","3,076","2,936","140","4.55%"
"Switzerland","ROMANIA","BUCHAREST","109","105","4","3.67%"
"Switzerland","RUSSIAN FEDERATION","MOSCOW","6,271","6,250","21","0.33%"
"Switzerland","SAUDI ARABIA","RIYADH","7,561","7,306","255","3.37%"
"Switzerland","SENEGAL","DAKAR","719","578","141","19.61%"
"Switzerland","SERBIA","BELGRADE","1,119","1,053","66","5.90%"
"Switzerland","SINGAPORE","SINGAPORE","471","442","29","6.16%"
"Switzerland","SOUTH AFRICA","PRETORIA","2,032","1,938","94","4.63%"
"Switzerland","SOUTH KOREA","SEOUL","40","26","14","35.00%"
"Switzerland","SPAIN","BARCELONA","3","3","0",""
"Switzerland","SPAIN","MADRID","8","8","0",""
"Switzerland","SRI LANKA","COLOMBO","896","693","203","22.66%"
"Switzerland","SUDAN","KHARTOUM","77","63","14","18.18%"
"Switzerland","TAIWAN","TAIPEI","11","11","0",""
"Switzerland","TANZANIA","DAR ES SALAAM","320","265","55","17.19%"
"Switzerland","THAILAND","BANGKOK","5,243","4,941","302","5.76%"
"Switzerland","TUNISIA","TUNIS","1,463","1,236","227","15.52%"
"Switzerland","TURKEY","ISTANBUL","7,833","6,920","913","11.66%"
"Switzerland","UKRAINE","KYIV","403","375","28","6.95%"
"Switzerland","UNITED ARAB EMIRATES","ABU DHABI","10,538","8,607","1,931","18.32%"
"Switzerland","UNITED KINGDOM","LONDON","1,717","1,689","28","1.63%"
"Switzerland","USA","ATLANTA, GA","375","373","2","0.53%"
"Switzerland","USA","NEW YORK, NY","812","802","10","1.23%"
"Switzerland","USA","SAN FRANCISCO, CA","764","760","4","0.52%"
"Switzerland","USA","WASHINGTON, DC","275","274","1","0.36%"
"Switzerland","VENEZUELA","CARACAS","1","0","1",""
"Switzerland","VIETNAM","HO CHI MINH","158","158","0",""
"","","Selection Sub total in 2021","2,937,948","2,459,958","380,675","13.40%"
"","","Total worldwide 2020","2,937,948","2,459,958","380,675","13.40%"
"","","Share of subtotal on worldwide total","1","1","1",""
