"Country where consulate is located","Schengen State","Consulate","Uniform visas applied for","Multiple entry uniform visas (MEVs) issued","Total uniform visas not issued","Not issued rate for uniform visas"
"Australia","Spain","Melbourne","354","367","5","1.3%"
"Mexico","Spain","Mexico City","515","456","6","1.3%"
"Slovakia","Austria","Bratislava","80","77","1","1.3%"
"Australia","Greece","Melbourne","158","156","2","1.3%"
"South Africa","Greece","Cape Town","4,814","4,741","61","1.3%"
"Albania","Italy","Tirana","229","226","3","1.3%"
"Australia","Italy","Sydney","221","221","3","1.3%"
"Hong Kong S.A.R.","Germany","Hong Kong","683","665","8","1.2%"
"Russian Federation","Hungary","Yekaterinburg","4,283","4,230","53","1.2%"
"Usa","Italy","Washington, Dc","504","498","6","1.2%"
"United Kingdom","Luxembourg","London","509","496","6","1.2%"
"Ireland","Netherlands","Dublin","2,652","2,555","30","1.2%"
"Peru","Poland","Lima","83","81","1","1.2%"
"Australia","Austria","Canberra","1,776","1,751","22","1.2%"
"Canada","Austria","Ottawa","651","632","8","1.2%"
"Ukraine","Czech Republic","Lviv","14,455","14,281","174","1.2%"
"Hong Kong S.A.R.","Austria","Hong Kong","183","181","2","1.1%"
"Canada","Czech Republic","Toronto","272","268","3","1.1%"
"New Zealand","France","Wellington","269","258","3","1.1%"
"Ireland","Germany","Dublin","4,047","3,984","46","1.1%"
"Usa","Germany","Los Angeles, Ca","1,655","1,610","18","1.1%"
"Australia","Italy","Canberra","90","89","1","1.1%"
"Usa","Italy","Boston, Ma","917","907","10","1.1%"
"Vietnam","Italy","Hanoi","3,339","3,302","37","1.1%"
"Ireland","Malta","Dublin","188","177","2","1.1%"
"Bulgaria","Austria","Sofia","382","367","4","1.0%"
"Serbia","Czech Republic","Belgrade","383","379","4","1.0%"
"China","Slovakia","Shanghai","107","104","1","1.0%"
"United Kingdom","Spain","Manchester","21,090","20,105","194","1.0%"
"Liberia","Sweden","Monrovia","219","207","2","1.0%"
"Usa","Germany","Atlanta, Ga","843","821","8","1.0%"
"Canada","Greece","Ottawa","102","100","1","1.0%"
"Mongolia","Hungary","Ulan Bator","301","298","3","1.0%"
"Usa","Hungary","New York, Ny","193","191","2","1.0%"
"Bulgaria","Italy","Sofia","206","201","2","1.0%"
"Ireland","Italy","Dublin","1,495","1,480","15","1.0%"
"Australia","Italy","Melbourne","791","784","7","0.9%"
"Indonesia","Italy","Jakarta","3,770","3,735","35","0.9%"
"Japan","Austria","Tokyo","218","216","2","0.9%"
"Australia","Belgium","Canberra","248","226","2","0.9%"
"China","Belgium","Shanghai","117","105","1","0.9%"
"Australia","Czech Republic","Sydney","117","116","1","0.9%"
"Australia","France","Sydney","2,190","1,979","19","0.9%"
"Mexico","Italy","Mexico City","116","115","1","0.9%"
"Usa","Poland","Chicago, Il","216","213","2","0.9%"
"Kuwait","Slovakia","Kuwait","565","556","5","0.9%"
"Canada","Switzerland","Montreal","1,276","1,244","12","0.9%"
"Bosnia And Herzegovina","Austria","Sarajevo","1,543","1,270","13","0.8%"
"Germany","Austria","Munich","129","123","1","0.8%"
"Singapore","Belgium","Singapore","537","502","4","0.8%"
"Belarus","Italy","Minsk","36,416","36,127","284","0.8%"
"Canada","Italy","Vancouver","524","520","4","0.8%"
"Usa","Italy","Los Angeles, Ca","824","817","7","0.8%"
"Usa","Latvia","Washington, Dc","123","122","1","0.8%"
"Ireland","Czech Republic","Dublin","271","269","2","0.7%"
"Singapore","Denmark","Singapore","2,320","2,278","17","0.7%"
"Russian Federation","Finland","Petrozavodsk","9,972","9,672","70","0.7%"
"Indonesia","Slovakia","Jakarta","299","297","2","0.7%"
"South Africa","Slovakia","Pretoria","144","143","1","0.7%"
"New Zealand","Switzerland","Wellington","135","134","1","0.7%"
"Usa","Switzerland","Atlanta, Ga","1,336","1,325","10","0.7%"
"China","Germany","Shenyang","566","547","4","0.7%"
"Japan","Germany","Osaka","344","341","2","0.6%"
"Indonesia","Greece","Jakarta","2,749","2,719","17","0.6%"
"Singapore","Greece","Singapore","1,106","1,096","7","0.6%"
"United Kingdom","Iceland","London","2,096","2,049","13","0.6%"
"Ireland","Belgium","Dublin","828","800","5","0.6%"
"Belarus","Czech Republic","Minsk","1,034","1,028","6","0.6%"
"Bulgaria","Finland","Sofia","163","157","1","0.6%"
"Belarus","France","Minsk","8,975","8,818","53","0.6%"
"Usa","Italy","Philadelphia, Pa","1,113","1,105","7","0.6%"
"Russian Federation","Latvia","St. Petersburg","357","348","2","0.6%"
"Canada","Spain","Ottawa","178","169","1","0.6%"
"Andorra","Spain","Andorra La Vella","207","197","1","0.5%"
"Usa","Spain","Boston, Ma","763","753","4","0.5%"
"Usa","Switzerland","Washington, Dc","805","794","4","0.5%"
"China","Germany","Guangzhou (Canton)","3,258","3,085","17","0.5%"
"Usa","Iceland","Washington, Dc","3,479","3,359","17","0.5%"
"Canada","Italy","Montreal","622","619","3","0.5%"
"New Zealand","Italy","Wellington","190","189","1","0.5%"
"Usa","Italy","Chicago, Il","623","620","3","0.5%"
"Russian Federation","Poland","Moscow","1,303","1,287","6","0.5%"
"Usa","Poland","New York, Ny","424","418","2","0.5%"
"Usa","Italy","Detroit, Mi","771","768","3","0.4%"
"Usa","Poland","Washington, Dc","228","225","1","0.4%"
"Usa","Spain","Chicago, Il","744","737","3","0.4%"
"Indonesia","Austria","Jakarta","4,442","4,426","16","0.4%"
"Usa","Czech Republic","Chicago, Il","237","232","1","0.4%"
"Australia","Greece","Sydney","265","264","1","0.4%"
"Chile","Italy","Santiago De Chile","259","258","1","0.4%"
"New Zealand","Germany","Wellington","308","305","1","0.3%"
"Bulgaria","Greece","Sofia","899","880","3","0.3%"
"Usa","Greece","Los Angeles, Ca","371","362","1","0.3%"
"Usa","Spain","Houston, Tx","969","938","3","0.3%"
"United Kingdom","Czech Republic","London","3,035","3,026","9","0.3%"
"India","Germany","Kolkata","649","646","1","0.2%"
"Canada","Greece","Toronto","492","491","1","0.2%"
"Usa","Greece","Houston, Tx","498","484","1","0.2%"
"Usa","Italy","San Francisco, Ca","921","919","2","0.2%"
"Belarus","Lithuania","Minsk","6,061","6,106","12","0.2%"
"Usa","Spain","Washington, Dc","1,222","1,167","2","0.2%"
"Ireland","Spain","Dublin","7,797","7,527","10","0.1%"
"Australia","Switzerland","Sydney","772","768","1","0.1%"
"India","Germany","Bangalore","6,345","6,332","8","0.1%"
"Usa","Greece","New York, Ny","1,209","1,187","1","0.1%"
"Iran","Italy","Teheran","22,519","18,970","16","0.1%"
"Denmark","Denmark","Copenhagen","1,391","1,328","1","0.1%"
"Argentina","Austria","Buenos Aires","18","18","0","0.0%"
"Brazil","Austria","Brasilia","50","23","0","0.0%"
"Chile","Austria","Santiago De Chile","21","21","0","0.0%"
"Colombia","Austria","Bogota","29","28","0","0.0%"
"Mexico","Austria","Mexico City","34","30","0","0.0%"
"Peru","Austria","Lima","27","27","0","0.0%"
"Albania","Belgium","Tirana","0","0","0","0.0%"
"Austria","Belgium","Vienna","1","1","0","0.0%"
"Belgium","Belgium","Brussels","35","32","0","0.0%"
"Finland","Belgium","Helsinki","1","1","0","0.0%"
"Germany","Belgium","Berlin","2","2","0","0.0%"
"Greece","Belgium","Athens","3","3","0","0.0%"
"Hungary","Belgium","Budapest","2","2","0","0.0%"
"Italy","Belgium","Rome","8","6","0","0.0%"
"Mexico","Belgium","Mexico City","33","29","0","0.0%"
"Morocco","Belgium","Casablanca","10","1","0","0.0%"
"Switzerland","Belgium","Bern","2","2","0","0.0%"
"Taiwan","Belgium","Taipei","19","19","0","0.0%"
"Austria","Czech Republic","Vienna","11","7","0","0.0%"
"Bosnia And Herzegovina","Czech Republic","Sarajevo","36","36","0","0.0%"
"Croatia","Czech Republic","Zagreb","24","24","0","0.0%"
"Germany","Czech Republic","Berlin","2","2","0","0.0%"
"Iraq","Czech Republic","Baghdad","222","200","0","0.0%"
"Japan","Czech Republic","Tokyo","137","137","0","0.0%"
"Mexico","Czech Republic","Mexico City","38","38","0","0.0%"
"Peru","Czech Republic","Lima","21","21","0","0.0%"
"Qatar","Czech Republic","Doha","1","1","0","0.0%"
"Slovakia","Czech Republic","Bratislava","1","1","0","0.0%"
"Syria","Czech Republic","Damascus","170","120","0","0.0%"
"Usa","Czech Republic","Washington, Dc","214","212","0","0.0%"
"Belgium","Denmark","Brussels","6","8","0","0.0%"
"China","Denmark","Shanghai","6","6","0","0.0%"
"Germany","Denmark","Berlin","3","3","0","0.0%"
"Greece","Denmark","Athens","2","1","0","0.0%"
"Iceland","Denmark","Reykjavik","42","42","0","0.0%"
"Netherlands","Denmark","The Hague","8","8","0","0.0%"
"Norway","Denmark","Oslo","3","3","0","0.0%"
"Australia","Estonia","Canberra","21","21","0","0.0%"
"Argentina","Finland","Buenos Aires","1","1","0","0.0%"
"Australia","Finland","Canberra","120","119","0","0.0%"
"Germany","Finland","Berlin","4","4","0","0.0%"
"Kazakhstan","Finland","Astana","61","47","0","0.0%"
"Lithuania","Finland","Vilnius","0","0","0","0.0%"
"Peru","Finland","Lima","27","27","0","0.0%"
"Saudi Arabia","Finland","Riyadh","89","87","0","0.0%"
"Austria","France","Vienna","23","23","0","0.0%"
"Belgium","France","Brussels","27","21","0","0.0%"
"Burundi","France","Bujumbura","64","59","0","0.0%"
"Congo (Democratic Republic)","France","Kinshasa","6","4","0","0.0%"
"Denmark","France","Copenhagen","1","1","0","0.0%"
"Finland","France","Helsinki","2","1","0","0.0%"
"Greece","France","Athens","3","3","0","0.0%"
"Guatemala","France","Guatemala City","81","80","0","0.0%"
"Italy","France","Rome","52","48","0","0.0%"
"Latvia","France","Riga","1","1","0","0.0%"
"Malta","France","Valetta","3","5","0","0.0%"
"Norway","France","Oslo","4","3","0","0.0%"
"Poland","France","Warsaw","5","4","0","0.0%"
"Rwanda","France","Kigali","152","151","0","0.0%"
"Suriname","France","Paramaribo","52","49","0","0.0%"
"Taiwan","France","Taipei","187","181","0","0.0%"
"Venezuela","France","Caracas","10","8","0","0.0%"
"Australia","Germany","Canberra","1","1","0","0.0%"
"Austria","Germany","Vienna","14","4","0","0.0%"
"Belgium","Germany","Brussels","4","1","0","0.0%"
"Brazil","Germany","Recife","8","8","0","0.0%"
"Brazil","Germany","Rio De Janeiro","19","19","0","0.0%"
"Denmark","Germany","Copenhagen","4","1","0","0.0%"
"El Salvador","Germany","San Salvador","3","3","0","0.0%"
"Estonia","Germany","Tallinn","1","1","0","0.0%"
"France","Germany","Paris","10","10","0","0.0%"
"Hungary","Germany","Budapest","1","1","0","0.0%"
"Nicaragua","Germany","Managua","7","7","0","0.0%"
"Norway","Germany","Oslo","4","4","0","0.0%"
"Paraguay","Germany","Asuncion","19","19","0","0.0%"
"Peru","Germany","Lima","35","34","0","0.0%"
"Poland","Germany","Warsaw","4","4","0","0.0%"
"Spain","Germany","Madrid","5","1","0","0.0%"
"Sweden","Germany","Stockholm","1","1","0","0.0%"
"Switzerland","Germany","Bern","3","3","0","0.0%"
"Venezuela","Germany","Caracas","4","0","0","0.0%"
"Albania","Greece","Gjirokaster","3","1","0","0.0%"
"Albania","Greece","Korce","3","0","0","0.0%"
"Australia","Greece","Adelaide","21","21","0","0.0%"
"Australia","Greece","Canberra","8","8","0","0.0%"
"Australia","Greece","Perth","48","47","0","0.0%"
"Belgium","Greece","Brussels","2","2","0","0.0%"
"Brazil","Greece","Sao Paulo","10","7","0","0.0%"
"Canada","Greece","Vancouver","192","192","0","0.0%"
"Chile","Greece","Santiago De Chile","16","16","0","0.0%"
"Croatia","Greece","Zagreb","3","3","0","0.0%"
"Finland","Greece","Helsinki","3","2","0","0.0%"
"France","Greece","Paris","19","16","0","0.0%"
"Germany","Greece","Stuttgart","3","2","0","0.0%"
"Hong Kong S.A.R.","Greece","Hong Kong","212","212","0","0.0%"
"Ireland","Greece","Dublin","910","907","0","0.0%"
"Italy","Greece","Rome","11","11","0","0.0%"
"Montenegro","Greece","Podgorica","213","213","0","0.0%"
"North Macedonia","Greece","Bitola","14","8","0","0.0%"
"Peru","Greece","Lima","19","19","0","0.0%"
"Poland","Greece","Warsaw","3","1","0","0.0%"
"Serbia","Greece","Belgrade","145","143","0","0.0%"
"South Korea","Greece","Seoul","30","30","0","0.0%"
"Spain","Greece","Madrid","2","2","0","0.0%"
"Ukraine","Greece","Kyiv","4","4","0","0.0%"
"Ukraine","Greece","Mariupol","2","2","0","0.0%"
"Usa","Greece","Boston, Ma","419","418","0","0.0%"
"Usa","Greece","San Francisco, Ca","625","603","0","0.0%"
"Usa","Greece","Tampa, Fl","213","202","0","0.0%"
"Usa","Greece","Washington, Dc","1,452","558","0","0.0%"
"Venezuela","Greece","Caracas","3","3","0","0.0%"
"Argentina","Hungary","Buenos Aires","3","3","0","0.0%"
"Colombia","Hungary","Bogota","1","1","0","0.0%"
"Japan","Hungary","Tokyo","70","70","0","0.0%"
"Mexico","Hungary","Mexico City","2","2","0","0.0%"
"Slovakia","Hungary","Bratislava","0","0","0","0.0%"
"Spain","Hungary","Madrid","1","1","0","0.0%"
"Argentina","Italy","Buenos Aires","64","64","0","0.0%"
"Australia","Italy","Brisbane","187","187","0","0.0%"
"Brazil","Italy","Belo Horizonte","9","9","0","0.0%"
"Brazil","Italy","Brasilia","13","13","0","0.0%"
"Brazil","Italy","Curitiba","27","27","0","0.0%"
"Brazil","Italy","Porto Alegre","5","5","0","0.0%"
"Costa Rica","Italy","San Jose","11","11","0","0.0%"
"Czech Republic","Italy","Prague","1","1","0","0.0%"
"El Salvador","Italy","San Salvador","12","12","0","0.0%"
"Finland","Italy","Helsinki","4","4","0","0.0%"
"France","Italy","Paris","29","28","0","0.0%"
"Greece","Italy","Athens","4","4","0","0.0%"
"Guatemala","Italy","Guatemala City","9","9","0","0.0%"
"Japan","Italy","Osaka","199","199","0","0.0%"
"Poland","Portugal","Warsaw","2","0","0","0.0%"
"Switzerland","Portugal","Geneva","7","7","0","0.0%"
"Venezuela","Portugal","Valencia","3","3","0","0.0%"
"Brazil","Slovakia","Brasilia","3","3","0","0.0%"
"Croatia","Slovakia","Zagreb","2","2","0","0.0%"
"Cuba","Slovakia","Havana","75","75","0","0.0%"
"Israel","Slovakia","Tel Aviv","107","105","0","0.0%"
"Japan","Slovakia","Tokyo","14","14","0","0.0%"
"Kazakhstan","Slovakia","Astana","317","316","0","0.0%"
"Mexico","Slovakia","Mexico City","2","2","0","0.0%"
"North Macedonia","Slovakia","Skopje","2","2","0","0.0%"
"Taiwan","Slovakia","Taipei","1","1","0","0.0%"
"Ukraine","Slovakia","Uzhhorod","3","3","0","0.0%"
"Usa","Slovakia","New York, Ny","35","35","0","0.0%"
"Usa","Slovakia","Washington, Dc","29","26","0","0.0%"
"Albania","Slovenia","Tirana","5","2","0","0.0%"
"Austria","Slovenia","Vienna","1","0","0","0.0%"
"Bosnia And Herzegovina","Slovenia","Banja Luka","2","2","0","0.0%"
"Japan","Slovenia","Tokyo","19","16","0","0.0%"
"Poland","Slovenia","Warsaw","3","2","0","0.0%"
"Ukraine","Slovenia","Kyiv","1","1","0","0.0%"
"Usa","Slovenia","Cleveland, Oh","25","24","0","0.0%"
"Argentina","Spain","Bahia Blanca","11","10","0","0.0%"
"Argentina","Spain","Cordoba","14","12","0","0.0%"
"Argentina","Spain","Mendoza","10","6","0","0.0%"
"Argentina","Spain","Rosario (Santa Fé)","9","7","0","0.0%"
"Australia","Spain","Canberra","43","45","0","0.0%"
"Australia","Spain","Sydney","380","431","0","0.0%"
"Belgium","Spain","Brussels","3","4","0","0.0%"
"Brazil","Spain","Salvador De Bahia","14","12","0","0.0%"
"Canada","Spain","Toronto","984","923","0","0.0%"
"Croatia","Spain","Zagreb","50","49","0","0.0%"
"Denmark","Spain","Copenhagen","2","2","0","0.0%"
"El Salvador","Spain","San Salvador","54","48","0","0.0%"
"Finland","Spain","Helsinki","7","7","0","0.0%"
"France","Spain","Bordeaux","1","1","0","0.0%"
"France","Spain","Marseille","2","2","0","0.0%"
"France","Spain","Paris","109","96","0","0.0%"
"Germany","Spain","Dusseldorf","1","1","0","0.0%"
"Germany","Spain","Frankfurt/Main","1","1","0","0.0%"
"Germany","Spain","Munich","1","1","0","0.0%"
"Germany","Spain","Stuttgart","1","1","0","0.0%"
"Greece","Spain","Athens","30","15","0","0.0%"
"Hungary","Spain","Budapest","2","1","0","0.0%"
"Italy","Spain","Milan","3","3","0","0.0%"
"Italy","Spain","Naples","6","3","0","0.0%"
"Italy","Spain","Rome","5","5","0","0.0%"
"Lithuania","Spain","Vilnius","4","4","0","0.0%"
"Malta","Spain","Valetta","11","11","0","0.0%"
"Mexico","Spain","Guadalajara","96","91","0","0.0%"
"Nicaragua","Spain","Managua","31","26","0","0.0%"
"Poland","Spain","Warsaw","19","13","0","0.0%"
"Portugal","Spain","Lisbon","2","2","0","0.0%"
"Sweden","Spain","Stockholm","9","8","0","0.0%"
"Switzerland","Spain","Geneva","2","2","0","0.0%"
"Switzerland","Spain","Zurich","2","1","0","0.0%"
"Usa","Spain","Los Angeles, Ca","836","842","0","0.0%"
"Usa","Spain","San Francisco, Ca","532","516","0","0.0%"
"Usa","Spain","San Juan","132","128","0","0.0%"
"Australia","Sweden","Canberra","4","3","0","0.0%"
"Bosnia And Herzegovina","Sweden","Sarajevo","6","6","0","0.0%"
"Guatemala","Sweden","Guatemala City","18","16","0","0.0%"
"Indonesia","Sweden","Jakarta","4","4","0","0.0%"
"South Africa","Sweden","Pretoria","1","1","0","0.0%"
"Spain","Sweden","Madrid","24","23","0","0.0%"
"Austria","Switzerland","Vienna","383","382","0","0.0%"
"Canada","Switzerland","Ottawa","3","3","0","0.0%"
"France","Switzerland","Paris","11","10","0","0.0%"
"Germany","Switzerland","Berlin","1","1","0","0.0%"
"Germany","Switzerland","Frankfurt/Main","6","6","0","0.0%"
"Germany","Switzerland","Munich","1","1","0","0.0%"
"Germany","Switzerland","Stuttgart","7","7","0","0.0%"
"Italy","Switzerland","Milan","2","0","0","0.0%"
"Italy","Switzerland","Rome","16","1","0","0.0%"
"Netherlands","Switzerland","The Hague","5","5","0","0.0%"
"Poland","Switzerland","Warsaw","1","0","0","0.0%"
"Spain","Switzerland","Barcelona","6","3","0","0.0%"
"Spain","Switzerland","Madrid","3","1","0","0.0%"
"Taiwan","Switzerland","Taipei","76","76","0","0.0%"
"Venezuela","Switzerland","Caracas","8","8","0","0.0%"
"Argentina","Slovakia","Buenos Aires","1","1","0","0.0%"
"Lithuania","Italy","Vilnius","1","1","0","0.0%"
"Netherlands","Italy","Amsterdam","1","1","0","0.0%"
"Nicaragua","Italy","Managua","4","4","0","0.0%"
"Norway","Italy","Oslo","1","1","0","0.0%"
"Paraguay","Italy","Asuncion","11","11","0","0.0%"
"Portugal","Italy","Lisbon","1","1","0","0.0%"
"Slovakia","Italy","Bratislava","9","3","0","0.0%"
"Spain","Italy","Madrid","36","35","0","0.0%"
"Sweden","Italy","Stockholm","2","2","0","0.0%"
"Switzerland","Italy","Lugano","4","4","0","0.0%"
"United Kingdom","Italy","Edinburgh","119","119","0","0.0%"
"Venezuela","Italy","Caracas","21","21","0","0.0%"
"Canada","Latvia","Ottawa","14","14","0","0.0%"
"France","Latvia","Paris","1","1","0","0.0%"
"Israel","Latvia","Tel Aviv","3","1","0","0.0%"
"Japan","Latvia","Tokyo","9","9","0","0.0%"
"Poland","Latvia","Warsaw","15","3","0","0.0%"
"Russian Federation","Latvia","Kaliningrad","224","221","0","0.0%"
"Russian Federation","Latvia","Pskov","166","163","0","0.0%"
"Ireland","Lithuania","Dublin","163","163","0","0.0%"
"Israel","Lithuania","Tel Aviv","23","22","0","0.0%"
"Russian Federation","Lithuania","Sovetsk","318","317","0","0.0%"
"Austria","Luxembourg","Vienna","5","4","0","0.0%"
"Belgium","Luxembourg","Brussels","3","3","0","0.0%"
"Denmark","Luxembourg","Copenhagen","3","3","0","0.0%"
"France","Luxembourg","Paris","1","1","0","0.0%"
"Greece","Luxembourg","Athens","2","1","0","0.0%"
"Italy","Luxembourg","Rome","32","23","0","0.0%"
"Poland","Luxembourg","Warsaw","15","12","0","0.0%"
"Portugal","Luxembourg","Lisbon","15","11","0","0.0%"
"Spain","Luxembourg","Madrid","4","3","0","0.0%"
"Switzerland","Luxembourg","Bern","4","3","0","0.0%"
"Switzerland","Luxembourg","Geneva","1","1","0","0.0%"
"Usa","Luxembourg","San Francisco, Ca","74","74","0","0.0%"
"Usa","Luxembourg","Washington, Dc","44","43","0","0.0%"
"Australia","Malta","Canberra","14","13","0","0.0%"
"Australia","Malta","Melbourne","16","16","0","0.0%"
"Australia","Malta","Sydney","12","12","0","0.0%"
"Usa","Malta","New York, Ny","72","70","0","0.0%"
"Congo (Democratic Republic)","Netherlands","Kinshasa","5","4","0","0.0%"
"France","Netherlands","Paris","5","1","0","0.0%"
"Germany","Netherlands","Berlin","5","5","0","0.0%"
"Greece","Netherlands","Athens","13","9","0","0.0%"
"Kazakhstan","Netherlands","Astana","31","28","0","0.0%"
"Luxembourg","Netherlands","Luxembourg","1","0","0","0.0%"
"Russian Federation","Netherlands","St. Petersburg","37","37","0","0.0%"
"Rwanda","Netherlands","Kigali","12","7","0","0.0%"
"Trinidad And Tobago","Netherlands","Port Of Spain","135","131","0","0.0%"
"Usa","Netherlands","Miami, Fl","11","11","0","0.0%"
"Egypt","Norway","Cairo","2","2","0","0.0%"
"Iran","Norway","Teheran","7","2","0","0.0%"
"Italy","Norway","Rome","3","3","0","0.0%"
"Kosovo","Norway","Pristina","1","0","0","0.0%"
"Lebanon","Norway","Beirut","1","1","0","0.0%"
"Pakistan","Norway","Islamabad","1","1","0","0.0%"
"Russian Federation","Norway","Murmansk","22","22","0","0.0%"
"South Sudan","Norway","Juba","4","1","0","0.0%"
"Spain","Norway","Madrid","1","1","0","0.0%"
"Australia","Poland","Sydney","112","112","0","0.0%"
"Bosnia And Herzegovina","Poland","Sarajevo","17","17","0","0.0%"
"Brazil","Poland","Brasilia","16","16","0","0.0%"
"Brazil","Poland","Curitiba","8","8","0","0.0%"
"Canada","Poland","Vancouver","96","96","0","0.0%"
"Colombia","Poland","Bogota","3","3","0","0.0%"
"Denmark","Poland","Copenhagen","1","1","0","0.0%"
"Finland","Poland","Helsinki","2","1","0","0.0%"
"Germany","Poland","Berlin","2","2","0","0.0%"
"Greece","Poland","Athens","6","6","0","0.0%"
"Hong Kong S.A.R.","Poland","Hong Kong","47","47","0","0.0%"
"Latvia","Poland","Riga","1","1","0","0.0%"
"Malta","Poland","Valetta","1","1","0","0.0%"
"Mexico","Poland","Mexico City","18","18","0","0.0%"
"Moldova","Poland","Chisinau","34","34","0","0.0%"
"Montenegro","Poland","Podgorica","103","103","0","0.0%"
"New Zealand","Poland","Wellington","33","33","0","0.0%"
"Panama","Poland","Panama City","10","10","0","0.0%"
"Russian Federation","Poland","Irkutsk","51","51","0","0.0%"
"Russian Federation","Poland","St. Petersburg","87","87","0","0.0%"
"Slovakia","Poland","Bratislava","3","3","0","0.0%"
"Slovenia","Poland","Ljubljana","2","2","0","0.0%"
"Spain","Poland","Madrid","2","2","0","0.0%"
"Sweden","Poland","Stockholm","8","8","0","0.0%"
"Taiwan","Poland","Taipei","9","8","0","0.0%"
"Ukraine","Poland","Kharkiv","6","6","0","0.0%"
"Ukraine","Poland","Lutsk","7","7","0","0.0%"
"Venezuela","Poland","Caracas","2","2","0","0.0%"
"Argentina","Portugal","Buenos Aires","9","9","0","0.0%"
"Denmark","Portugal","Copenhagen","1","1","0","0.0%"
"Australia","Lithuania","Canberra","0","0","0",""
"Brazil","Lithuania","Rio De Janeiro","0","0","0",""
"China","Lithuania","Beijing","0","0","0",""
"Malta","Malta","Valetta","0","0","0",""
"Austria","Netherlands","Vienna","0","0","0",""
"Cyprus","Netherlands","Nicosia","1","0","0",""
"Czech Republic","Netherlands","Prague","2","0","0",""
"Denmark","Netherlands","Copenhagen","0","0","0",""
"India","Netherlands","Bangalore","0","0","0",""
"India","Netherlands","Mumbai","0","0","0",""
"Italy","Netherlands","Rome","0","0","0",""
"Panama","Netherlands","Panama City","0","0","0",""
"Poland","Netherlands","Warsaw","1","0","0",""
"Portugal","Netherlands","Lisbon","0","0","0",""
"Slovakia","Netherlands","Bratislava","4","0","0",""
"Slovenia","Netherlands","Ljubljana","0","0","0",""
"Spain","Netherlands","Madrid","1","0","0",""
"Switzerland","Netherlands","Bern","0","0","0",""
"Greece","Portugal","Athens","1","0","0",""
"Austria","Slovakia","Vienna","0","0","0",""
"Bosnia And Herzegovina","Slovakia","Sarajevo","0","0","0",""
"Czech Republic","Slovakia","Prague","0","0","0",""
"France","Slovakia","Paris","0","0","0",""
"Germany","Slovakia","Berlin","0","0","0",""
"Greece","Slovakia","Athens","0","0","0",""
"Poland","Slovakia","Warsaw","0","0","0",""
"Spain","Slovakia","Madrid","0","0","0",""
"Tanzania","Sweden","Dar Es Salaam","1","0","0",""
"Türkiye","Belgium","Ankara","1","0","0",""
"France","France","Paris","73","0","0",""
